index_seg,bkdc_total,Bus/Bike Lane,Climbing Lane,Contraflow Bike Lane,Cycle Track,Existing Bike Lane,Shared Lane
9413,1,0,0,1,0,0,0
523,1,0,0,0,0,1,0
8708,1,0,0,0,0,1,0
4471,1,0,0,0,0,1,0
6706,1,0,0,0,0,1,0
7792,1,0,0,0,0,1,0
576,1,0,0,0,0,1,0
919,1,0,0,0,0,1,0
12846,1,0,0,0,0,1,0
7283,1,0,0,0,0,1,0
4470,1,0,0,0,0,1,0
7518,1,0,0,0,0,1,0
12843,1,0,0,0,0,1,0
6713,1,0,0,0,0,1,0
11363,1,0,0,0,0,1,0
8232,1,0,1,0,0,0,0
3599,1,0,0,0,0,1,0
8610,1,0,0,0,0,0,1
231,1,0,0,0,0,1,0
4511,1,0,0,0,0,0,1
4665,1,0,0,0,0,1,0
5751,1,0,0,0,1,0,0
771,1,0,0,0,1,0,0
7346,1,0,0,0,0,1,0
4361,1,0,0,0,0,1,0
8957,1,0,0,0,0,1,0
7818,1,0,0,0,0,1,0
5617,1,0,0,0,0,1,0
6331,1,0,0,0,0,1,0
4355,1,0,0,0,0,1,0
4584,1,0,0,0,0,1,0
2755,1,0,0,0,0,1,0
6707,1,0,0,0,0,1,0
2549,1,0,0,0,0,0,1
7321,1,0,0,0,1,0,0
1790,1,0,0,0,0,0,1
2111,2,0,0,0,0,0,2
4477,1,0,0,0,0,1,0
3655,1,0,0,0,0,1,0
5672,1,0,0,0,0,1,0
839,1,0,0,0,0,1,0
4681,1,0,1,0,0,0,0
1562,1,0,0,1,0,0,0
8986,1,0,0,1,0,0,0
11480,1,0,0,0,0,1,0
4577,1,0,0,0,0,1,0
846,1,0,0,0,0,1,0
2498,1,0,0,0,0,0,1
7729,1,0,0,0,0,1,0
3649,1,0,0,0,0,1,0
140,1,0,0,0,0,1,0
1533,1,0,0,0,0,1,0
1774,1,0,0,0,0,1,0
614,1,0,0,0,0,0,1
4476,1,0,0,0,0,1,0
8959,1,0,0,0,0,1,0
4387,1,0,0,0,1,0,0
4426,1,0,0,0,0,0,1
4683,1,0,0,0,0,1,0
7289,1,0,0,0,0,1,0
11130,1,0,0,0,0,1,0
8961,1,0,0,0,0,1,0
923,1,0,0,0,0,1,0
4435,1,0,0,0,0,1,0
12270,1,0,0,0,0,1,0
2981,1,0,0,0,0,1,0
451,1,0,0,0,0,1,0
8703,1,0,0,0,0,1,0
4792,1,0,0,0,0,1,0
8692,1,0,0,0,0,0,1
9493,1,0,1,0,0,0,0
4788,1,0,0,0,0,1,0
8746,1,0,0,0,0,0,1
9804,1,0,0,1,0,0,0
5206,1,0,0,0,1,0,0
4999,1,0,0,0,0,1,0
895,1,0,0,0,1,0,0
809,1,0,0,0,0,1,0
8709,1,0,0,0,0,1,0
4840,1,0,0,0,0,1,0
821,1,0,0,0,0,1,0
1798,1,0,0,0,0,0,1
7785,1,0,0,0,0,1,0
6971,1,0,0,0,0,1,0
3652,1,0,0,0,0,1,0
4863,1,0,1,0,0,0,0
6704,1,0,0,0,0,1,0
3945,1,0,0,0,0,1,0
2903,1,0,0,0,0,0,1
4061,1,0,0,0,0,0,1
851,1,0,0,0,0,1,0
888,1,0,0,0,1,0,0
6709,1,0,0,0,0,1,0
12628,1,0,0,0,0,1,0
8231,1,0,1,0,0,0,0
772,1,0,0,0,1,0,0
6773,1,0,0,0,0,1,0
2932,1,0,0,0,0,1,0
7861,1,0,0,0,0,1,0
838,1,0,0,0,0,1,0
5761,1,0,0,0,1,0,0
618,1,0,0,0,0,0,1
5014,1,0,0,0,0,1,0
10051,1,0,0,0,0,1,0
522,1,0,0,0,0,1,0
8290,1,0,0,0,0,1,0
2934,1,0,0,0,0,1,0
9494,1,0,1,0,0,0,0
628,1,0,0,0,0,1,0
4389,1,0,0,0,1,0,0
6628,1,0,1,0,0,0,0
7018,1,0,0,0,0,1,0
4001,1,0,0,0,0,0,1
12619,1,0,0,0,0,1,0
9989,1,0,0,0,0,1,0
3710,1,0,0,0,0,1,0
6914,1,0,0,0,0,1,0
830,1,0,0,0,0,1,0
4578,1,0,0,0,0,1,0
2550,1,0,0,0,0,0,1
9385,1,0,0,0,0,1,0
2892,1,0,0,0,0,1,0
4998,1,0,0,0,0,1,0
6881,1,0,0,0,0,1,0
12621,1,0,0,0,0,1,0
456,1,0,0,0,0,1,0
8985,1,0,0,1,0,0,0
1803,1,0,0,0,0,0,1
6407,1,0,0,0,0,0,1
455,1,0,0,0,0,1,0
2112,2,0,0,0,0,0,2
6919,1,0,0,0,0,1,0
784,1,0,0,0,0,1,0
10101,1,0,0,0,0,1,0
4424,1,0,0,0,0,1,0
1804,1,0,0,0,0,0,1
4506,1,0,0,0,0,0,1
453,1,0,0,0,0,1,0
7019,1,0,0,0,0,1,0
4842,1,0,0,0,0,1,0
4063,1,0,0,0,0,0,1
8230,1,0,1,0,0,0,0
8690,1,0,1,0,0,0,0
7319,1,0,0,0,1,0,0
1727,1,0,0,0,0,0,1
7651,1,0,0,0,0,1,0
6941,1,0,0,0,0,1,0
4510,1,0,0,0,0,0,1
7800,1,0,0,0,0,1,0
8710,1,0,0,0,0,1,0
8106,1,0,0,0,0,0,1
12631,1,0,0,0,0,1,0
5546,1,0,0,0,0,0,1
2511,1,0,0,0,1,0,0
1424,1,0,0,0,0,1,0
5204,1,0,0,0,1,0,0
5107,1,0,0,0,0,0,1
5757,1,0,0,0,1,0,0
269,1,0,0,0,0,1,0
777,1,0,0,0,1,0,0
6719,1,0,0,0,0,1,0
1112,1,0,0,0,0,0,1
5106,1,0,0,0,0,0,1
7683,1,0,0,0,0,1,0
4490,1,0,0,0,0,1,0
857,1,0,0,0,0,1,0
11475,1,0,0,0,0,1,0
7521,1,0,0,0,0,1,0
790,1,0,0,0,0,1,0
383,1,1,0,0,0,0,0
822,1,0,0,0,0,1,0
3608,1,0,0,0,0,1,0
814,1,0,0,0,0,1,0
6758,1,0,0,0,0,1,0
2982,1,0,0,0,0,1,0
990,1,0,0,0,0,1,0
2678,1,0,0,0,0,1,0
519,1,0,0,0,0,1,0
7829,1,0,0,0,0,1,0
6878,1,0,0,0,0,1,0
12622,1,0,0,0,0,1,0
7739,1,0,0,0,0,0,1
8992,1,0,0,1,0,0,0
572,1,0,0,0,0,1,0
4720,1,0,0,0,0,1,0
12845,1,0,0,0,0,1,0
4386,1,0,0,0,1,0,0
11517,1,0,0,0,0,1,0
8990,1,0,0,1,0,0,0
6753,1,0,0,0,0,0,1
524,1,0,0,0,0,1,0
4473,1,0,0,0,0,1,0
4432,1,0,0,0,0,1,0
3381,1,0,0,0,0,1,0
1468,1,0,0,0,0,1,0
5491,1,0,0,0,0,0,1
657,1,0,0,0,0,1,0
10152,1,0,0,0,0,1,0
10303,1,0,0,0,0,1,0
578,1,0,0,0,0,1,0
2504,1,0,0,0,1,0,0
7834,1,0,0,0,0,1,0
7345,1,0,0,0,0,1,0
4434,1,0,0,0,0,1,0
2019,1,0,0,0,0,1,0
4736,1,0,0,0,0,0,1
9842,1,0,0,0,0,0,1
1785,1,0,0,0,0,0,1
9861,1,0,0,1,0,0,0
7288,1,0,0,0,0,1,0
5489,1,0,0,0,0,0,1
526,1,0,0,0,0,1,0
9711,1,0,0,0,0,1,0
4488,1,0,0,0,0,1,0
4779,1,0,0,0,0,1,0
8912,1,0,0,0,0,1,0
1428,1,0,0,0,0,1,0
988,1,0,0,0,0,1,0
7479,1,0,0,0,0,0,1
12627,1,0,0,0,0,1,0
2933,1,0,0,0,0,1,0
7322,1,0,0,0,1,0,0
9750,2,0,0,0,1,0,1
5012,1,0,0,0,0,1,0
7205,1,0,0,0,0,0,1
12630,1,0,0,0,0,1,0
160,1,0,0,0,0,1,0
9860,1,0,0,1,0,0,0
617,1,0,0,0,0,0,1
3602,1,0,0,0,0,1,0
8765,1,0,0,0,0,1,0
11522,1,0,0,0,0,1,0
5705,1,0,0,1,0,0,0
9789,1,0,0,0,0,0,1
2080,1,1,0,0,0,0,0
4431,1,0,0,0,0,1,0
4579,1,0,0,0,0,1,0
7650,1,0,0,0,0,1,0
1611,1,0,0,0,0,0,1
833,1,0,0,0,0,1,0
2929,1,0,0,0,0,1,0
12623,1,0,0,0,0,1,0
1789,1,0,0,0,0,0,1
9991,1,0,0,0,0,1,0
3661,1,0,0,0,0,1,0
7735,1,0,0,0,0,0,1
664,1,0,0,0,0,1,0
267,1,0,0,0,0,1,0
792,1,0,0,0,0,1,0
774,1,0,0,0,1,0,0
525,1,0,0,0,0,1,0
8687,1,0,0,0,0,0,1
7340,1,0,0,0,0,1,0
7020,1,0,0,0,0,1,0
7854,1,0,0,0,0,1,0
2819,1,0,0,0,0,1,0
4785,1,0,0,0,0,1,0
514,1,0,0,0,0,1,0
4838,1,0,0,0,0,1,0
1801,1,0,0,0,0,0,1
10304,1,0,0,0,0,1,0
2855,1,0,0,0,0,1,0
5760,1,0,0,0,1,0,0
6710,1,0,0,0,0,1,0
6973,1,0,0,0,0,1,0
2496,1,0,0,0,0,0,1
6755,1,0,0,0,0,1,0
10256,1,0,0,0,0,1,0
2753,1,0,0,0,0,1,0
985,1,0,0,0,0,1,0
1957,1,0,0,0,0,1,0
6623,1,0,1,0,0,0,0
515,1,0,0,0,0,1,0
3211,1,0,0,0,0,1,0
601,1,0,0,0,0,1,0
1425,1,0,0,0,0,1,0
12258,1,0,0,0,0,1,0
10037,1,0,0,0,0,0,1
6405,1,0,0,0,0,0,1
7787,1,0,0,0,0,1,0
10693,1,0,0,0,0,0,1
8910,1,0,0,0,0,1,0
6406,1,0,0,0,0,0,1
8764,1,0,0,0,0,1,0
11520,1,0,0,0,0,1,0
1427,1,0,0,0,0,1,0
7860,1,0,0,0,0,1,0
252,1,1,0,0,0,0,0
4996,1,0,0,0,0,1,0
7628,1,0,0,0,0,1,0
7484,1,0,0,0,0,0,1
4707,1,0,0,0,0,1,0
10691,1,0,0,0,0,1,0
6967,1,0,0,0,0,1,0
4483,1,0,0,0,0,1,0
6349,1,0,1,0,0,0,0
10261,1,0,0,0,0,1,0
7480,1,0,0,0,0,0,1
1802,1,0,0,0,0,0,1
6976,1,0,0,0,0,1,0
5108,1,0,0,0,0,0,1
8762,1,0,0,0,0,1,0
887,1,0,0,0,1,0,0
9990,1,0,0,0,0,1,0
11758,1,0,0,0,0,0,1
2988,1,0,0,0,0,1,0
5492,1,0,0,0,0,0,1
2700,1,0,0,0,0,1,0
6916,1,0,0,0,0,1,0
11365,1,0,0,0,0,1,0
9986,1,0,0,0,0,1,0
6711,1,0,0,0,0,1,0
4425,1,0,0,0,0,1,0
11759,1,0,0,0,0,0,1
1690,1,0,0,0,0,0,1
11288,1,0,0,0,0,1,0
3210,1,0,0,0,0,0,1
506,1,0,0,0,0,1,0
604,1,0,0,0,0,1,0
8988,1,0,0,1,0,0,0
5749,1,0,0,0,0,1,0
11764,1,0,0,0,0,0,1
2698,1,0,0,0,0,1,0
1780,1,0,0,0,0,0,1
9791,1,0,0,0,0,0,1
8108,1,0,0,1,0,0,0
251,1,1,0,0,0,0,0
8913,1,0,0,0,0,1,0
7786,1,0,0,0,0,1,0
287,1,0,0,0,0,1,0
5011,1,0,0,0,0,1,0
827,1,0,0,0,0,1,0
4868,1,0,0,0,0,1,0
8465,1,0,0,0,0,1,0
1563,1,0,0,1,0,0,0
669,1,0,0,0,0,1,0
518,1,0,0,0,0,1,0
852,1,0,0,0,0,1,0
6884,1,0,0,0,0,1,0
4737,1,0,0,0,0,0,1
10153,1,0,0,0,0,1,0
8480,1,0,0,0,0,1,0
574,1,0,0,0,0,1,0
12308,1,0,0,0,0,1,0
5667,1,0,0,0,0,1,0
582,1,0,0,0,0,1,0
3212,1,0,0,0,0,1,0
7731,1,0,0,0,0,0,1
7277,1,0,0,0,0,1,0
9282,1,0,0,0,0,1,0
2020,1,0,0,0,0,1,0
5009,1,0,0,0,0,1,0
3607,1,0,0,0,0,1,0
12624,1,0,0,0,0,1,0
4487,1,0,0,0,0,1,0
11361,1,0,0,0,0,1,0
6352,1,0,1,0,0,0,0
270,1,0,0,0,0,1,0
263,1,0,0,0,0,1,0
9414,1,0,0,0,0,1,0
8574,1,0,0,0,0,1,0
7339,1,0,0,0,0,1,0
4708,1,0,0,0,0,1,0
825,1,0,0,0,0,1,0
3957,1,0,0,0,0,1,0
6354,1,0,1,0,0,0,0
1538,1,0,0,0,0,1,0
5226,1,0,0,1,0,0,0
4429,1,0,0,0,0,1,0
659,1,0,0,0,0,1,0
6879,1,0,0,0,0,1,0
829,1,0,0,0,0,1,0
9384,1,0,0,0,0,1,0
12259,1,0,0,0,0,1,0
12263,1,0,0,0,0,1,0
2494,1,0,0,0,0,0,1
4630,1,0,1,0,0,0,0
6882,1,0,0,0,0,1,0
8763,1,0,0,0,0,1,0
9790,1,0,0,0,0,0,1
581,1,0,0,0,0,1,0
9186,1,0,0,0,0,1,0
4793,1,0,0,0,0,1,0
1687,1,0,0,0,0,0,1
598,1,0,0,0,0,1,0
8612,1,0,0,0,0,0,1
4836,1,0,0,0,0,1,0
11128,1,0,0,0,0,1,0
4359,1,0,0,0,0,1,0
3382,1,0,0,0,0,1,0
3699,1,0,0,0,0,1,0
3380,1,0,0,0,0,1,0
6159,1,0,0,0,0,1,0
138,1,0,0,0,0,1,0
1791,1,0,0,0,0,0,1
1537,1,0,0,0,0,1,0
4062,1,0,0,0,0,0,1
6708,1,0,0,0,0,1,0
7855,1,0,0,0,0,1,0
925,1,0,0,0,0,1,0
6974,1,0,0,0,0,1,0
836,1,0,0,0,0,1,0
5236,1,0,0,0,0,1,0
2676,1,0,0,0,0,1,0
4356,1,0,0,0,0,1,0
10127,1,0,0,0,0,0,1
5661,1,0,0,0,0,1,0
1731,1,0,0,0,0,0,1
4682,2,0,2,0,0,0,0
627,1,0,0,0,0,1,0
12739,1,0,0,0,0,1,0
10129,1,0,0,0,0,0,1
137,1,0,0,0,0,1,0
2935,1,0,0,0,0,1,0
4765,1,0,0,0,0,1,0
8761,1,0,0,0,0,1,0
10199,1,0,0,0,0,1,0
6332,1,0,0,0,0,1,0
8291,1,0,0,0,0,1,0
4054,1,0,0,0,0,0,1
2477,1,0,0,0,0,1,0
11410,1,0,0,0,0,1,0
5618,1,0,0,0,0,1,0
1109,1,0,0,0,0,0,1
2936,1,0,0,0,0,1,0
921,1,0,0,0,0,1,0
3796,1,0,0,0,0,1,0
9886,1,0,0,0,0,1,0
4782,1,0,0,0,0,1,0
4786,1,0,0,0,0,1,0
812,1,0,0,0,0,1,0
1117,1,0,0,0,0,0,1
845,1,0,0,0,0,1,0
4058,1,0,0,0,0,0,1
5748,1,0,0,0,1,0,0
3600,1,0,0,0,0,1,0
7828,1,0,0,0,0,1,0
7344,1,0,0,0,0,1,0
1800,1,0,0,0,0,0,1
885,1,0,0,0,1,0,0
7596,1,0,0,0,0,1,0
7788,1,0,0,0,0,1,0
773,1,0,0,0,1,0,0
10259,1,0,0,0,0,1,0
7681,1,0,0,0,0,0,1
7789,1,0,0,0,0,1,0
389,1,1,0,0,0,0,0
734,1,0,0,0,0,1,0
11287,1,0,0,0,0,1,0
454,1,0,0,0,0,1,0
8351,1,0,0,0,0,1,0
450,1,0,0,0,0,1,0
10125,1,0,0,0,0,0,1
4580,1,0,0,0,0,1,0
865,1,0,0,0,0,1,0
8996,1,0,0,1,0,0,0
6918,1,0,0,0,0,1,0
6335,1,0,0,0,0,0,1
3697,1,0,1,0,0,0,0
6345,1,0,0,0,0,0,1
6875,1,0,0,0,0,1,0
8526,1,0,0,0,0,1,0
7728,1,0,0,0,0,1,0
864,1,0,0,0,0,1,0
10258,1,0,0,0,0,0,1
2938,1,0,0,0,0,1,0
623,1,0,0,0,0,1,0
12268,1,0,0,0,0,1,0
5110,1,0,0,0,0,0,1
5490,1,0,0,0,0,0,1
9357,1,0,0,0,0,1,0
1761,1,0,0,0,0,1,0
4631,1,0,1,0,0,0,0
9885,1,0,0,0,0,1,0
645,1,0,0,0,0,0,1
621,1,0,0,0,0,1,0
8993,1,0,0,1,0,0,0
6939,1,0,0,0,0,1,0
612,1,0,0,0,0,0,1
684,1,0,0,0,0,1,0
12265,1,0,0,0,0,1,0
7206,1,0,0,0,0,0,1
6917,1,0,0,0,0,1,0
599,1,0,0,0,0,1,0
7791,1,0,0,0,0,1,0
5233,1,0,0,0,0,1,0
850,1,0,0,0,0,1,0
5662,1,0,0,0,0,1,0
8597,1,0,0,0,0,0,1
9268,1,0,0,0,0,1,0
1565,1,0,0,1,0,0,0
6629,1,0,1,0,0,0,0
824,1,0,0,0,0,1,0
4861,1,0,1,0,0,0,0
3658,1,0,0,0,0,1,0
452,1,0,0,0,0,1,0
6938,1,0,0,0,0,1,0
12091,1,0,1,0,0,0,0
1613,1,0,0,0,0,0,1
9281,1,0,0,0,0,1,0
7736,1,0,0,0,0,0,1
779,1,0,0,0,1,0,0
685,1,0,0,0,0,1,0
577,1,0,0,0,0,1,0
7654,1,0,0,0,0,1,0
10052,1,0,0,0,0,1,0
660,1,0,0,0,0,1,0
11521,1,0,0,0,0,1,0
9230,1,0,0,0,0,1,0
4839,1,0,0,0,0,1,0
6350,1,0,1,0,0,0,0
7733,1,0,0,0,0,0,1
894,1,0,0,0,1,0,0
3651,1,0,0,0,0,1,0
3954,1,0,0,0,0,0,1
3656,1,0,0,0,0,1,0
12089,1,0,1,0,0,0,0
6163,1,0,0,0,0,1,0
9232,1,0,0,0,0,1,0
6630,1,0,1,0,0,0,0
7517,1,0,0,0,0,1,0
828,1,0,0,0,0,1,0
12625,1,0,0,0,0,1,0
6625,1,0,1,0,0,0,0
9187,1,0,0,0,0,1,0
4585,1,0,0,0,0,1,0
1121,1,0,0,0,0,0,1
2312,1,0,0,0,0,1,0
12313,1,0,0,0,0,1,0
605,1,0,0,0,0,1,0
7520,1,0,0,0,0,1,0
626,1,0,0,0,0,1,0
9466,1,0,0,0,0,0,1
8350,1,0,0,0,0,1,0
8705,1,0,0,0,0,1,0
4422,1,0,0,0,0,1,0
8609,1,0,0,0,0,0,1
4480,1,0,0,0,0,1,0
9987,1,0,0,0,0,1,0
4515,1,0,0,0,0,0,1
4778,1,0,0,0,0,1,0
4664,1,0,0,0,0,1,0
8745,1,0,0,0,0,0,1
5015,1,0,0,0,0,1,0
12311,1,0,0,0,0,1,0
8958,1,0,0,0,0,1,0
12269,1,0,0,0,0,1,0
808,1,0,0,0,0,1,0
4766,1,0,0,0,0,1,0
775,1,0,0,0,1,0,0
7284,1,0,0,0,0,1,0
7281,1,0,0,0,0,1,0
4780,1,0,0,0,0,1,0
8599,1,0,0,0,0,0,1
6333,1,0,0,0,0,1,0
7742,1,0,0,0,0,0,1
2901,1,0,0,0,0,1,0
4783,1,0,0,0,0,1,0
1788,1,0,0,0,0,0,1
7738,1,0,0,0,0,0,1
6351,1,0,1,0,0,0,0
7744,1,0,0,0,0,0,1
4481,1,0,0,0,0,1,0
7783,1,0,0,0,0,1,0
8349,1,0,0,0,0,1,0
8688,1,0,1,0,0,0,0
6771,1,0,0,0,0,1,0
12309,1,0,0,0,0,1,0
9415,1,0,0,0,0,1,0
11481,1,0,0,0,0,1,0
11761,1,0,0,0,0,0,1
6756,1,0,0,0,0,1,0
619,1,0,0,0,0,0,1
5762,1,0,0,0,1,0,0
859,1,0,0,0,0,1,0
7655,1,0,0,0,0,1,0
2677,1,0,0,0,0,1,0
2980,1,0,0,0,0,1,0
12272,1,0,0,0,0,1,0
8962,1,0,0,0,0,1,0
787,1,0,0,0,0,1,0
272,1,0,0,0,0,1,0
7799,1,0,0,0,0,1,0
5259,1,0,0,0,0,1,0
7487,1,0,0,0,0,0,1
4588,1,0,0,0,0,1,0
4430,1,0,0,0,0,1,0
289,1,0,0,0,0,1,0
2990,1,0,0,0,0,0,1
7725,1,0,0,0,0,1,0
8751,1,0,0,0,0,0,1
2553,1,0,0,0,0,1,0
7859,1,0,0,0,0,1,0
2506,1,0,0,0,1,0,0
10150,1,0,0,0,0,1,0
583,1,0,0,0,0,1,0
8345,1,0,0,0,0,1,0
381,1,0,0,0,0,1,0
9856,1,0,0,1,0,0,0
6346,1,0,0,0,0,0,1
607,1,0,0,0,0,1,0
2476,1,0,0,0,0,0,1
8689,1,0,0,0,0,1,0
4865,1,0,0,0,0,1,0
6164,1,0,0,0,0,1,0
4719,1,0,0,0,0,1,0
513,1,0,0,0,0,1,0
2902,1,0,1,0,0,0,0
5235,1,0,0,0,0,1,0
12264,1,0,0,0,0,1,0
4581,1,0,0,0,0,1,0
1710,1,0,1,0,0,0,0
11756,1,0,0,0,0,0,1
991,1,0,0,0,0,1,0
625,1,0,0,0,0,1,0
8685,1,0,0,0,0,0,1
6937,1,0,0,0,0,1,0
837,1,0,0,0,0,1,0
855,1,0,0,0,0,1,0
5615,1,0,0,0,0,0,1
886,1,0,0,0,1,0,0
12260,1,0,0,0,0,1,0
7286,1,0,0,0,0,1,0
3650,1,0,0,0,0,1,0
8514,1,0,0,0,0,1,0
3660,1,0,0,0,0,1,0
6716,1,0,0,0,0,1,0
778,1,0,0,0,1,0,0
7853,1,0,0,0,0,1,0
2983,1,0,0,0,0,1,0
2311,1,0,0,0,0,1,0
3606,1,0,0,0,0,1,0
920,1,0,0,0,0,1,0
6229,1,0,0,0,0,1,0
4388,1,0,0,0,1,0,0
4358,1,0,0,0,0,1,0
10690,1,0,0,0,0,1,0
7481,1,0,0,0,0,0,1
4860,1,0,1,0,0,0,0
12312,1,0,0,0,0,1,0
6776,1,0,0,0,0,1,0
