column,,column,db_b,I,p_norm,p_rand,z_norm,z_rand,ftr_type
v0rq_Failure to stop for pedestrians,1148,v0rq_Failure to stop for pedestrians,10,4.021382885167902,0.0,0.0,21.15731003930301,21.43100911118702,v0
STREETTYPE_CRES,43,STREETTYPE_CRES,50,3.0179537167235635,0.0,0.0,148.43432467581945,148.62124875932633,seg_attr
crash_evt_NON_COLLISION,525,crash_evt_NON_COLLISION,10,2.493982931681886,0.0,0.0,13.121497242611747,13.178316113948831,crash
SEGMENTTYPE_2,126,SEGMENTTYPE_2,10,2.187924195463699,0.0,0.0,11.511289841840227,11.614430313363497,seg_attr
STREETTYPE_CIR,36,STREETTYPE_CIR,50,2.0974348043267197,0.0,0.0,103.16084881911503,103.7299947412794,seg_attr
v0rq_Poor visibility,1204,v0rq_Poor visibility,10,1.814211905655442,0.0,0.0,9.545149936003519,9.592383948065475,v0
ud_node_ecc_SgAsNd,273,ud_node_ecc_SgAsNd,10,1.5569309860961116,4.440892098500626e-16,0.0,8.191567790724049,8.561813086300637,net_SaN
d_node_ecc_SgAsNd,189,d_node_ecc_SgAsNd,10,1.4666676466545845,2.398081733190338e-14,2.6645352591003757e-15,7.7166828095500914,7.987850655829825,net_SaN
v0rq_Blocking the crosswalk,1127,v0rq_Blocking the crosswalk,10,1.4637380486259093,2.708944180085382e-14,1.9984014443252818e-14,7.70126988428827,7.740143138683811,v0
ud_bridge_SgAsEg,294,ud_bridge_SgAsEg,10,1.3397490348257544,3.6055602947726584e-12,4.3876013933186186e-13,7.048950561199108,7.336467830927573,net_SaE
STREETTYPE_CT,50,STREETTYPE_CT,50,1.3203427858809407,0.0,0.0,64.94147465771205,65.12392162964667,seg_attr
ud_clo_cntr_SgAsNd,238,ud_clo_cntr_SgAsNd,10,1.2717585064539914,4.425571020760799e-11,5.74473801862041e-12,6.691245196146133,6.983831279356374,net_SaN
ud_deg_cntr_SgAsNd,245,ud_deg_cntr_SgAsNd,10,1.267652927336834,5.128431013190493e-11,1.745270594710746e-13,6.669645309926296,7.458838472420654,net_SaN
v0ur_Pedestrian,1106,v0ur_Pedestrian,10,1.2486413859548235,1.0088507806926827e-10,3.8287595316433e-11,6.5696235787656345,6.712409228650175,v0
d_clo_cntr_SgAsNd,161,d_clo_cntr_SgAsNd,10,1.2077733723678103,4.179048218588832e-10,6.855316314613447e-11,6.354612634311733,6.626918832293397,net_SaN
ud_far_cntr_SgAsNd,259,ud_far_cntr_SgAsNd,10,1.1718258811089628,1.4053123109647458e-09,2.0336576866952782e-10,6.165489078554444,6.464427738865651,net_SaN
311_STREET REPAIR,994,311_STREET REPAIR,10,1.1613522808733014,1.9878045875998396e-09,8.139413587571198e-10,6.11038635931639,6.251330516156695,311
ud_page_rank_SgAsNd,280,ud_page_rank_SgAsNd,10,1.0835511740096522,2.3812034566361717e-08,4.514566054325542e-09,5.701066502585505,5.978119382011232,net_SaN
v0rq_Not enough time to cross,1177,v0rq_Not enough time to cross,50,1.0126499609111885,0.0,0.0,49.808354093923164,50.07295669405272,v0
d_out_deg_SgAsNd,196,d_out_deg_SgAsNd,10,0.9901771076641417,3.7805669927948315e-07,3.0578428678040837e-10,5.209815657968256,6.402461067871808,net_SaN
crime_ofn_THEFT F/AUTO,1297,crime_ofn_THEFT F/AUTO,100,0.9130710311061969,0.0,0.0,122.09109551964015,126.13929277768612,crime
311_POTHOLES,784,311_POTHOLES,10,0.9099392764003194,3.3744761065435114e-06,2.076099348435889e-06,4.787675936294838,4.884284757077987,311
crime_ofn_BURGLARY,1262,crime_ofn_BURGLARY,100,0.8533140875390998,0.0,0.0,114.10135590123585,119.3420384936622,crime
crime_ofn_SEX ABUSE,1289,crime_ofn_SEX ABUSE,50,0.8530269627104051,0.0,0.0,41.95768654337701,43.96500296489428,crime
d_in_deg_SgAsNd,182,d_in_deg_SgAsNd,10,0.8466876216451947,1.6786282427183608e-05,9.743127193928558e-08,4.454902286843643,5.455935643859999,net_SaN
crime_mtd_OTHERS,1249,crime_mtd_OTHERS,150,0.8445493427196554,0.0,0.0,174.60628003524673,178.64102263754486,crime
crime_ofn_ROBBERY,1284,crime_ofn_ROBBERY,150,0.8356662188846163,0.0,0.0,172.7699001902654,180.72460891515718,crime
crime_mtd_GUN,1235,crime_mtd_GUN,150,0.8133729849321721,0.0,0.0,168.16129107145053,175.60847530261915,crime
crime_ofn_ASSAULT W/DANGEROUS WEAPON,1255,crime_ofn_ASSAULT W/DANGEROUS WEAPON,100,0.8038887794820286,0.0,0.0,107.4929967991339,112.7800013090632,crime
crime_mtd_KNIFE,1242,crime_mtd_KNIFE,150,0.7975374926401053,0.0,0.0,164.88767027987672,171.70422305438834,crime
crime_ofn_MOTOR VEHICLE THEFT,1276,crime_ofn_MOTOR VEHICLE THEFT,100,0.7969713970773418,0.0,0.0,106.5681154220882,111.50060379454635,crime
crime_ofn_THEFT/OTHER,1305,crime_ofn_THEFT/OTHER,150,0.795230849421508,0.0,0.0,164.4108252876357,165.96840751744787,crime
d_auth_score_SgAsNd,149,d_auth_score_SgAsNd,100,0.7934704789088672,0.0,0.0,106.10002882123914,106.1233533269447,net_SaN
cycling facilities,500,cycling facilities,150,0.788060694357947,0.0,0.0,162.92856201081668,168.56153435806763,poi
d_page_rank_SgAsNd,203,d_page_rank_SgAsNd,10,0.786117677336707,7.060938976088948e-05,6.972461638721228e-06,4.136237399851764,4.63987316357124,net_SaN
v0ur_Car Driver,1099,v0ur_Car Driver,10,0.7658242112117117,0.00011180486739936768,8.361741104678799e-05,4.029471326954963,4.09725013787284,v0
311_TRAFFIC SIGNAL MAIN,1043,311_TRAFFIC SIGNAL MAIN,10,0.7596148850193573,0.0001284071554850108,9.942941954932394e-05,3.996803404737556,4.05696414852054,311
d_hub_score_SgAsNd,177,d_hub_score_SgAsNd,100,0.7578303682130281,0.0,0.0,101.3348051094352,101.35589993030443,net_SaN
STREETTYPE_WAY,113,STREETTYPE_WAY,50,0.7525551133610412,0.0,0.0,37.01622386994539,37.0489891080096,seg_attr
311_ROADWAY SIGN,840,311_ROADWAY SIGN,10,0.7424142327909787,0.0001874333488856017,0.00011850736491947345,3.906308953056596,4.0157633839065605,311
311_SIGNS CONFLICTING,966,311_SIGNS CONFLICTING,10,0.7265639379126307,0.00026376235870806397,0.00024216917015928985,3.8229188742995164,3.8439198120567117,311
311_TRAFFIC SIGNAL ISSUE,1037,311_TRAFFIC SIGNAL ISSUE,50,0.7088162076932615,0.0,0.0,34.86503255482854,35.298359213666814,311
crime_ofn_HOMICIDE,1269,crime_ofn_HOMICIDE,100,0.7060597390073236,0.0,0.0,94.41286729696837,96.48863769786365,crime
ud_eig_cntr_SgAsNd,254,ud_eig_cntr_SgAsNd,100,0.6954156819186923,0.0,0.0,92.98971478037245,93.0053531759688,net_SaN
ud_hub_score_SgAsNd,268,ud_hub_score_SgAsNd,100,0.6954129334832916,0.0,0.0,92.98934730369278,93.00498555230767,net_SaN
ud_auth_score_SgAsNd,219,ud_auth_score_SgAsNd,100,0.6954121979234718,0.0,0.0,92.98924895643665,93.00488717018509,net_SaN
311_ANC RESOLUTION,603,311_ANC RESOLUTION,50,0.6848971810260549,0.0,0.0,33.68863361098283,33.69589338768395,311
311_ROADWAY MARKINGS,826,311_ROADWAY MARKINGS,10,0.6845684872126117,0.0006316141682343179,0.0005782318832738831,3.6019763638798836,3.62486186565114,311
residence,485,residence,100,0.6758646254440019,0.0,0.0,90.37566122989094,90.45512489198786,poi
SHAPE_Length,0,SHAPE_Length,10,0.6628190543605786,0.0009749344558191986,0.0009496100259074325,3.4875502959503586,3.494581841503895,seg_attr
DIRECTIONALITY_Bi-direction,7,DIRECTIONALITY_Bi-direction,10,0.6564441429539798,0.0011046288241374214,0.00014623979628503037,3.4540112123972904,3.965898752921475,seg_attr
v0rq_Red light running,1212,v0rq_Red light running,50,0.6555533242818657,0.0,0.0,32.24542764100281,32.47879891964561,v0
professional service,465,professional service,150,0.6383432344494875,0.0,0.0,131.97794926204267,132.9853129946601,poi
311_MARKING MODIFICATION,729,311_MARKING MODIFICATION,50,0.6299604831696309,0.0,0.0,30.9867062192101,31.128661098504544,311
311_PEDESTRIAN SIGNAL RE,778,311_PEDESTRIAN SIGNAL RE,50,0.5990258329226588,0.0,0.0,29.465260953685654,29.469428183463197,311
schools&university,493,schools&university,150,0.5924230474463035,0.0,0.0,122.48501553102813,122.87463696378533,poi
v0rq_Long wait to cross,1170,v0rq_Long wait to cross,50,0.585584279060444,0.0,0.0,28.804170935803192,29.035648390426367,v0
crash_1stharm_Other Non-fixed Object,561,crash_1stharm_Other Non-fixed Object,50,0.58543006997653,0.0,0.0,28.796586538412285,29.146908557708933,crash
outdoors and recreation,449,outdoors and recreation,50,0.565354190050024,0.0,0.0,27.809203386459256,28.105090184964236,poi
retail shop,457,retail shop,100,0.5475228594324802,0.0,0.0,73.21585968403618,73.53764328153719,poi
side_walk_both,359,side_walk_both,100,0.5457817590458276,0.0,0.0,72.98306767848058,92.10823816477935,bk_osm
DIRECTIONALITY_one-way,14,DIRECTIONALITY_one-way,10,0.5368235308355066,0.009465733416738509,0.0029831808639273483,2.8246745128538664,3.1763147055242116,seg_attr
311_STREETLIGHT REPAIR,1008,311_STREETLIGHT REPAIR,10,0.5350799335092246,0.009740241108984193,0.007053277275427927,2.8155012627991995,2.9176642441170935,311
311_BICYCLES,619,311_BICYCLES,150,0.5310768171974181,0.0,0.0,109.80310510327116,110.28224895965965,311
311_PARKING METER REQUES,752,311_PARKING METER REQUES,150,0.5155607462128923,0.0,0.0,106.59551725935388,107.08936300483703,311
cycle_lane_right,330,cycle_lane_right,50,0.5124840899821386,0.0,0.0,25.208916562658455,25.234998565748423,bk_osm
bikable_yes,393,bikable_yes,50,0.49775092297102635,0.0,0.0,24.48430170468276,25.461444561494996,bk_osm
311_S0499,891,311_S0499,100,0.49708964250940146,0.0,0.0,66.47273918153832,66.47686866819393,311
311_MARKING INSTALLATION,715,311_MARKING INSTALLATION,50,0.49353044026447945,0.0,0.0,24.276727564330805,24.43418335880955,311
transportation,507,transportation,150,0.479897370858213,0.0,0.0,99.22294147165528,99.66290759822272,poi
v0rq_Speeding,1218,v0rq_Speeding,10,0.47910502747884404,0.02340361494581078,0.02242610308739712,2.5210113584713083,2.535988190351711,v0
311_S0306,863,311_S0306,100,0.47052505132640404,0.0,0.0,62.92094831085577,62.92718693779915,311
v0rq_Long distance to cross,1163,v0rq_Long distance to cross,50,0.46207055566836114,0.0,0.0,22.72944992936241,22.78169120583205,v0
v0rq_Stop sign running,1227,v0rq_Stop sign running,100,0.4604994201282682,0.0,0.0,61.58048178091495,62.14052602164763,v0
311_SCHOOL CROSSING GUAR,905,311_SCHOOL CROSSING GUAR,100,0.4538146185681357,0.0,0.0,60.6866973823506,60.68798828248377,311
311_SIDEWALK REPAIR,926,311_SIDEWALK REPAIR,100,0.45062710183874305,0.0,0.0,60.26051379301493,60.58150162299314,311
v0ur_Biker,1093,v0ur_Biker,50,0.4439203794449185,0.0,0.0,21.83677781368869,21.99501436101708,v0
food,472,food,150,0.43474121712251756,0.0,0.0,89.88795390005112,90.25844813073006,poi
Bus/Bike Lane,400,Bus/Bike Lane,50,0.43369590459292556,0.0,0.0,21.333911974513377,21.348817073373677,bk_opendc
311_SIGN NEW,939,311_SIGN NEW,50,0.43304739246956064,0.0,0.0,21.30201648864716,21.570250387410113,311
side_walk_no,373,side_walk_no,100,0.4207837883468787,0.0,0.0,56.27034478641774,56.90144184118594,bk_osm
311_TRAFFIC SAFETY,1030,311_TRAFFIC SAFETY,50,0.414480845833726,0.0,0.0,20.38886621053809,20.57591845136682,311
v0rq_Jaywalking,1156,v0rq_Jaywalking,50,0.41426325410638326,0.0,0.0,20.378164492537728,20.459202074842203,v0
311_TREE PRUNING,1066,311_TREE PRUNING,100,0.4141377430329374,0.0,0.0,55.38174225120132,56.945953454091104,311
v0rq_Other Driving Issue,1191,v0rq_Other Driving Issue,50,0.4066118682571003,0.0,0.0,20.001849755433767,20.201599851830615,v0
v0rq_Cyclist behavior,1136,v0rq_Cyclist behavior,100,0.40285819161865577,0.0,0.0,53.87362163068592,54.08228440300458,v0
311_BUS AND/OR RAIL ISSU,638,311_BUS AND/OR RAIL ISSU,50,0.4016009523778322,0.0,0.0,19.755400088811147,19.88833790533003,311
311_TREE INSPECTION,1052,311_TREE INSPECTION,100,0.3993852875365119,0.0,0.0,53.40928062393971,56.45462651895509,311
OBSTRUCTING CROSSWALK,1471,OBSTRUCTING CROSSWALK,50,0.39425246162517297,0.0,0.0,19.393982507712813,19.42184138325287,parking
311_SIGN REPLACE,954,311_SIGN REPLACE,100,0.3832962729220538,0.0,0.0,51.25811575818842,53.45944571474503,311
v0rq_Other Walking Issue,1198,v0rq_Other Walking Issue,50,0.3755134355121263,0.0,0.0,18.47234924751378,18.59890317974264,v0
311_TREE PLANTING,1060,311_TREE PLANTING,150,0.3753815182134099,0.0,0.0,77.61671275728173,78.60199265176884,311
crash_1stharm_Motor Vehicle In Transport,547,crash_1stharm_Motor Vehicle In Transport,50,0.3750701637862347,0.0,0.0,18.450548009636048,18.593766421714445,crash
nightlife spot,478,nightlife spot,100,0.37290443645378213,0.0,0.0,49.86868613574961,50.00418369742164,poi
ud_bridge_SgAsNd,226,ud_bridge_SgAsNd,100,0.3682487077153337,0.0,0.0,49.24619679587302,49.38392684061941,net_SaN
311_TRAFFIC CALMING,1016,311_TRAFFIC CALMING,50,0.36134475778704106,0.0,0.0,17.775497417237062,17.81244010582417,311
art,443,art,100,0.3530567931329001,0.0,0.0,47.21497775130467,47.493168217895715,poi
crash_evt_COLLISION_WITH_NON_FIXED,521,crash_evt_COLLISION_WITH_NON_FIXED,150,0.34758294087941427,0.0,0.0,71.87000156837028,72.59125121202038,crash
311_ALLEYLIGHT REPAIR,597,311_ALLEYLIGHT REPAIR,100,0.3463950668863958,0.0,0.0,46.324278613406236,46.95398058033308,311
311_MARKING MAINTENANCE,723,311_MARKING MAINTENANCE,100,0.3450213337236597,0.0,0.0,46.14060505816315,46.28396085590385,311
v0rq_Blocking the bikebox,1121,v0rq_Blocking the bikebox,50,0.34018610239229397,0.0,0.0,16.734860596772215,16.754528119329613,v0
cycle_way_both,337,cycle_way_both,50,0.33645959897207334,0.0,0.0,16.55158162188837,16.68569301486983,bk_osm
crash_evt_PENDING_INVESTIGATION,535,crash_evt_PENDING_INVESTIGATION,150,0.33087011959331575,0.0,0.0,68.41501335335666,69.03715647726865,crash
311_SAFE ROUTES TO SCHOO,898,311_SAFE ROUTES TO SCHOO,100,0.3248355918768581,0.0,0.0,43.441691564048746,43.51194086205606,311
crash_1stharm_Pedestrian,575,crash_1stharm_Pedestrian,50,0.3230489665606008,0.0,0.0,15.892012400086012,16.03943266098787,crash
v0rq_Accessibility Issue,1115,v0rq_Accessibility Issue,100,0.3230246180935412,0.0,0.0,43.199557209097804,43.38351647041766,v0
